appartamento,آ-پار-تا-مِن-تُ,آپارمان,Vivo در یک آپارتمان.
terrazzo,تِر-رات-تُ,تراس / بالکن,Il terrazzo è grande.
cucina,کو-چی-نا,آشپزخانه,La cucina è nuova.
salotto,سا-لُت-تُ,پذیرایی,Guardo la TV در سالن.
camera da letto,کا-مِ-را دا لِت-تُ,اتاق خواب,Dormo در اتاق خواب.
bagno,با-نیو,حمام / دستشویی,Il bagno è pulito.
doccia,دُت-چا,دوش,Faccio una doccia.
vasca,واس-کا,وان,Mi rilasso در وان.
frigo,فری-گُ,یخچال,Il frigo è vuoto.
tavolo,تا-وُ-لُ,میز,Il tavolo è di legno.
armadietto,آر-ما-دی-یِت-تُ,کمد کوچک / کابینت,L'armadietto è chiuso.
forno,فُر-نُ,فر / اجاق,Il pane è nel forno.
divano,دی-وا-نُ,مبل,Siedo روی مبل.
armadio,آر-ما-دیُ,کمد لباس,I vestiti هستند در کمد.
tappeto,تاپ-پِ-تُ,فرش,Il tappeto è persiano.
lavandino,لا-وان-دی-نُ,روشویی / سینک,Lavo le mani در سینک.
quadro,کوآ-درُ,تابلو,Il quadro è bello.
scaffale,اس-کاف-فا-لِ,قفسه,Il libro è روی قفسه.
tavolino,تا-وُ-لی-نُ,میز جلو مبلی,Il caffè è روی میز.
comodino,کُ-مُ-دی-نُ,میز پاتختی,La lampada است روی میز پاتختی.
cassettone,کاس-سِت-تُ-نِ,دراور,I calzini هستند در دراور.
letto matrimoniale,لِت-تُ ما-تری-مُ-نیا-لِ,تخت دو نفره,Il letto matrimoniale è comodo.
specchio,اس-پِک-کیُ,آینه,Mi guardo در آینه.
tende,تِن-دِ,پرده‌ها,Le tende هستند سبز.
stereo,استِ-رِ-ایُ,استریو / ضبط,Accendo lo stereo.
gabinetto,گا-بی-نِت-تُ,توالت,Dov'è il gabinetto?
libreria,لی-برِ-ریا,کتابخانه (قفسه),La mia libreria è piena.
lavastoviglie,لا-واس-تُ-وی-لیِ,ماشین ظرفشویی,Uso la lavastoviglie.
scrivania,اس-کری-وا-نیا,میز تحریر,Studio روی میز تحریر.
lavatrice,لا-وا-تری-چِ,ماشین لباسشویی,La lavatrice è rotta.
orto,اُر-تُ,باغچه سبزیجات,Ho un piccolo orto.
quartiere,کوآر-تی-یِ-رِ,محله,Il mio quartiere è tranquillo.
centro,چِن-ترُ,مرکز شهر,Vado در مرکز شهر.
periferia,پِ-ری-فِ-ریا,حاشیه شهر,Abito در حاشیه شهر.
zona industriale,دُ-نا این-دوس-تریا-لِ,منطقه صنعتی,La fabbrica è در منطقه صنعتی.
aria,آ-ریا,هوا,L'aria è fresca.
strade,استرا-دِ,خیابان‌ها,Le strade هستند شلوغ.
marciapiedi,مار-چا-پی-یِ-دی,پیاده‌روها,Cammino روی پیاده‌رو.
strisce pedonali,استریس-چِ پِ-دُ-نا-لی,خط کشی عابر,Uso le strisce pedonali.
mezzi di trasporto,مِد-دِ دی تراس-پُر-تُ,وسایل نقلیه,Prendo i mezzi di trasporto.
pedoni,پِ-دُ-نی,عابران پیاده,Attenzione ai pedoni!
attività culturali,ات-تی-وی-تا کول-تو-را-لی,فعالیت‌های فرهنگی,Ci sono molte attività culturali.
manifestazioni,ما-نی-فس-تا-دسی-اُ-نی,رویدادها / تظاهرات,Partecipiamo alle manifestazioni.
negozi,نِ-گُ-دسی,مغازه‌ها,I negozi هستند باز.
area,آ-رِ-آ,ناحیه / منطقه,Questa è un'area verde.
spazio,سپات-سیُ,فضا,C'è molto spazio.
fuori,فو-اُ-ری,بیرون,Andiamo fuori.
inquinata,این-کوئی-نا-تا,آلوده,La città è inquinata.
sicure,سی-کو-رِ,امن (مونث جمع),Le strade هستند امن.
insicure,این-سی-کو-رِ,ناامن,Le zone هستند ناامن.
violenza,وی-اُ-لِن-دسا,خشونت,No alla violenza.
sicurezza,سی-کو-رِت-تسا,امنیت,La sicurezza است مهم.
camicia,کا-می-چا,پیراهن,Metto la camicia.
gonna,گُن-نا,دامن,La gonna è lunga.
giacca,جاک-کا,کت / کاپشن,Prendo la giacca.
maglione,ما-لی-اُ-نِ,پلیور,Il maglione è caldo.
asciugamano,آ-شو-گا-ما-نُ,حوله,L'asciugamano è asciutto.
prosciutto,پرو-شوت-تُ,ژامبون,Mangio un panino al prosciutto.
carciofi,کار-چُ-فی,کنگر فرنگی,Mi piacciono i carciofi.
tagliatelle,تال-یا-تِل-لِ,نوعی پاستا,Cucino le tagliatelle.
salumiere,سا-لو-می-یِ-رِ,کالباس فروش,Vado dal salumiere.
salumeria,سا-لو-می-ریا,پروتئینی,La salumeria è chiusa.
