Materiale,نیاز به بررسی,Ho imparato la parola “Materiale”.
Pelle,پوست / چرم,Ho imparato la parola “Pelle”.
A righe,راه‌راه,L’espressione “A righe” è utile in italiano.
A quadri,چهارخانه,L’espressione “A quadri” è utile in italiano.
Di lana,پشمی,L’espressione “Di lana” è utile in italiano.
Di cotone,نخی / پنبه‌ای,L’espressione “Di cotone” è utile in italiano.
Di seta,ابریشمی,L’espressione “Di seta” è utile in italiano.
Vestirsi,لباس پوشیدن,Devo vestirsi oggi.
Vestito,لباس / کت‌وشلوار,Ho imparato la parola “Vestito”.
Grigio,خاکستری,Ho imparato la parola “Grigio”.
Sopra,بالا / روی,Ho imparato la parola “Sopra”.
Portare,پوشیدن / حمل کردن,Devo portare oggi.
Cravatta,کراوات,Ho imparato la parola “Cravatta”.
Impermeabile,بارانی / ضدآب,Ho imparato la parola “Impermeabile”.
Beige,بژ,Ho imparato la parola “Beige”.
Aderente,تنگ / چسبان,Ho imparato la parola “Aderente”.
Stivali,چکمه‌ها,Ho imparato la parola “Stivali”.
Indossare,پوشیدن,Devo indossare oggi.
Maglietta,تی‌شرت,Ho imparato la parola “Maglietta”.
Occhiali da sole,عینک آفتابی,L’espressione “Occhiali da sole” è utile in italiano.
Un paio di,یک جفت از,L’espressione “Un paio di” è utile in italiano.
Giacca,ژاکت / کت,Ho imparato la parola “Giacca”.
Celeste,نیاز به بررسی,Ho imparato la parola “Celeste”.
Cappotto,نیاز به بررسی,Ho imparato la parola “Cappotto”.
Azzurro,نیاز به بررسی,Ho imparato la parola “Azzurro”.
Borsetta,نیاز به بررسی,Ho imparato la parola “Borsetta”.
Scarpe,نیاز به بررسی,Ho imparato la parola “Scarpe”.
Con il tacco,نیاز به بررسی,L’espressione “Con il tacco” è utile in italiano.
Mettere,نیاز به بررسی,Devo mettere oggi.
A collo alto,نیاز به بررسی,L’espressione “A collo alto” è utile in italiano.
Abbigliamento,نیاز به بررسی,Ho imparato la parola “Abbigliamento”.
Gonna,نیاز به بررسی,Ho imparato la parola “Gonna”.
Camicetta,نیاز به بررسی,Ho imparato la parola “Camicetta”.
